Session_ID,Add_to_Cart_Time,Checkout_Time
SESS_0001,2023-10-06 18:28:00,2023-10-06 18:43:25
SESS_0002,2023-10-06 16:38:00,2023-10-06 16:43:44
SESS_0003,2023-10-03 21:41:00,2023-10-03 22:00:03
SESS_0004,2023-10-03 01:28:00,2023-10-03 01:55:15
SESS_0005,2023-10-02 23:18:00,2023-10-02 23:48:32
SESS_0006,2023-10-05 05:49:00,2023-10-05 06:28:10
SESS_0007,2023-10-07 00:21:00,2023-10-07 00:54:54
SESS_0008,2023-10-06 16:01:00,2023-10-06 16:45:11
SESS_0009,2023-10-07 09:02:00,
SESS_0010,2023-10-06 16:53:00,2023-10-06 17:30:28
SESS_0011,2023-10-03 09:45:00,2023-10-03 10:24:58
SESS_0012,2023-10-08 01:26:00,2023-10-08 01:38:53
SESS_0013,2023-10-05 17:05:00,
SESS_0014,2023-10-04 22:13:00,
SESS_0015,2023-10-01 21:08:00,2023-10-01 21:51:34
SESS_0016,2023-10-03 15:43:00,2023-10-03 15:38:00
SESS_0017,2023-10-03 03:07:00,2023-10-03 03:44:14
SESS_0018,2023-10-04 05:09:00,2023-10-04 05:46:25
SESS_0019,2023-10-05 05:09:00,
SESS_0020,2023-10-06 18:48:00,
SESS_0021,2023-10-05 15:37:00,2023-10-05 16:21:02
SESS_0022,2023-10-01 16:14:00,2023-10-01 16:38:15
SESS_0023,2023-10-05 15:35:00,2023-10-05 15:48:46
SESS_0024,2023-10-03 20:57:00,
SESS_0025,2023-10-07 17:11:00,2023-10-07 17:39:55
SESS_0026,2023-10-04 20:31:00,2023-10-04 20:51:45
SESS_0027,2023-10-04 07:04:00,2023-10-04 07:44:31
SESS_0028,2023-10-06 14:12:00,2023-10-06 14:17:46
SESS_0029,2023-10-05 01:37:00,
SESS_0030,2023-10-01 10:17:00,2023-10-01 10:31:00
SESS_0031,2023-10-08 00:11:00,2023-10-08 00:14:44
SESS_0032,2023-10-04 13:23:00,2023-10-04 13:59:45
SESS_0033,2023-10-02 07:44:00,2023-10-02 08:18:35
SESS_0034,2023-10-08 05:43:00,2023-10-08 05:53:50
SESS_0035,2023-10-04 01:53:00,2023-10-04 02:20:25
SESS_0036,2023-10-05 16:23:00,2023-10-05 16:40:51
SESS_0037,2023-10-01 16:15:00,2023-10-01 16:49:14
SESS_0038,2023-10-07 17:57:00,
SESS_0039,2023-10-03 22:36:00,2023-10-03 23:00:36
SESS_0040,2023-10-01 16:32:00,2023-10-01 17:08:57
SESS_0041,2023-10-05 08:15:00,2023-10-05 08:55:05
SESS_0042,2023-10-05 12:22:00,2023-10-05 13:07:38
SESS_0043,2023-10-05 17:05:00,2023-10-05 17:09:13
SESS_0044,2023-10-06 00:51:00,2023-10-06 01:24:40
SESS_0045,2023-10-02 07:54:00,2023-10-02 08:13:30
SESS_0046,2023-10-05 14:45:00,
SESS_0047,2023-10-02 13:14:00,2023-10-02 13:44:00
SESS_0048,2023-10-02 15:06:00,
SESS_0049,2023-10-04 17:13:00,2023-10-04 17:51:41
SESS_0050,2023-10-07 23:11:00,2023-10-07 23:41:45
SESS_0051,2023-10-06 01:58:00,2023-10-06 02:34:43
SESS_0052,2023-10-03 03:43:00,2023-10-03 03:53:13
SESS_0053,2023-10-05 02:05:00,2023-10-05 02:48:48
SESS_0054,2023-10-05 15:18:00,
SESS_0055,2023-10-03 00:15:00,2023-10-03 00:47:56
SESS_0056,2023-10-06 06:16:00,2023-10-06 06:19:15
SESS_0057,2023-10-01 15:45:00,2023-10-01 16:28:57
SESS_0058,2023-10-06 13:53:00,2023-10-06 14:29:36
SESS_0059,2023-10-07 10:30:00,2023-10-07 11:11:19
SESS_0060,2023-10-03 20:42:00,2023-10-03 21:12:27
SESS_0061,2023-10-01 15:41:00,2023-10-01 15:57:30
SESS_0062,2023-10-07 16:11:00,2023-10-07 16:24:24
SESS_0063,2023-10-01 21:07:00,2023-10-01 21:36:45
SESS_0064,2023-10-07 21:34:00,2023-10-07 21:41:37
SESS_0065,2023-10-01 10:40:00,2023-10-01 11:11:15
SESS_0066,2023-10-04 05:01:00,2023-10-04 05:26:12
SESS_0067,2023-10-05 06:09:00,2023-10-05 06:54:48
SESS_0068,2023-10-01 18:13:00,2023-10-01 18:33:46
SESS_0069,2023-10-03 13:53:00,2023-10-03 14:33:31
SESS_0070,2023-10-07 03:22:00,2023-10-07 03:48:06
SESS_0071,2023-10-03 16:16:00,2023-10-03 16:59:00
SESS_0072,2023-10-03 07:59:00,2023-10-03 08:09:00
SESS_0073,2023-10-03 23:27:00,2023-10-03 23:37:22
SESS_0074,2023-10-06 08:45:00,
SESS_0075,2023-10-05 19:26:00,
SESS_0076,2023-10-04 15:34:00,2023-10-04 15:49:24
SESS_0077,2023-10-04 22:20:00,2023-10-04 22:52:04
SESS_0078,2023-10-01 16:22:00,
SESS_0079,2023-10-03 19:58:00,2023-10-03 20:41:01
SESS_0080,2023-10-07 14:49:00,2023-10-07 15:16:37
SESS_0081,2023-10-03 09:04:00,2023-10-03 09:38:26
SESS_0082,2023-10-05 21:52:00,
SESS_0083,2023-10-07 13:05:00,2023-10-07 13:34:00
SESS_0084,2023-10-06 15:35:00,2023-10-06 16:19:53
SESS_0085,2023-10-07 02:28:00,2023-10-07 03:06:09
SESS_0086,2023-10-06 16:02:00,2023-10-06 16:25:28
SESS_0087,2023-10-02 09:31:00,2023-10-02 09:55:54
SESS_0088,2023-10-07 06:37:00,2023-10-07 07:09:41
SESS_0089,2023-10-08 03:29:00,2023-10-08 03:56:20
SESS_0090,2023-10-04 18:40:00,2023-10-04 19:08:49
SESS_0091,2023-10-03 09:08:00,2023-10-03 09:35:33
SESS_0092,2023-10-03 05:24:00,
SESS_0093,2023-10-05 23:21:00,2023-10-05 23:27:13
SESS_0094,2023-10-07 11:35:00,2023-10-07 12:00:12
SESS_0095,2023-10-03 08:34:00,2023-10-03 08:50:13
SESS_0096,2023-10-04 22:40:00,2023-10-04 23:04:45
SESS_0097,2023-10-01 19:58:00,
SESS_0098,2023-10-05 00:40:00,2023-10-05 01:00:03
SESS_0099,2023-10-07 03:48:00,
SESS_0100,2023-10-06 14:06:00,2023-10-06 14:48:29
SESS_0101,2023-10-05 12:39:00,2023-10-05 13:05:48
SESS_0102,2023-10-04 12:07:00,
SESS_0103,2023-10-07 22:17:00,2023-10-07 22:36:44
SESS_0104,2023-10-05 10:47:00,2023-10-05 11:27:41
SESS_0105,2023-10-01 08:25:00,2023-10-01 09:05:18
SESS_0106,2023-10-07 12:43:00,
SESS_0107,2023-10-05 02:01:00,2023-10-05 02:41:48
SESS_0108,2023-10-04 21:16:00,2023-10-04 21:30:54
SESS_0109,2023-10-02 11:19:00,2023-10-02 12:00:36
SESS_0110,2023-10-03 19:15:00,
SESS_0111,2023-10-02 05:04:00,2023-10-02 05:25:21
SESS_0112,2023-10-03 02:26:00,2023-10-03 02:43:56
